,richness,shannon,invsimpson,simpson,pielou,PD
X15_22N_H_N_2,6606,7.593208643,307.624494,0.996749284,0.863283153,80.79719
X15_22S_H_C_2,4669,6.44165151,97.41674772,0.989734825,0.762442904,63.38692
X15_23N_N_N_1,5975,7.660132252,579.3327045,0.998273876,0.880946898,59.16246
X15_23S_N_C_1,5354,6.894992481,134.7073598,0.992576501,0.80308809,65.36241
X15_24N_N_N_0,5362,6.859396786,100.8953489,0.99008874,0.798803196,73.27454
X15_24S_N_C_0,7172,7.92045301,684.7282028,0.998539567,0.892149886,82.75256
X15_2N_H_N_0,4869,6.948333717,111.4334573,0.991026035,0.818351804,65.56719
X15_2S_H_C_0,7168,7.963491763,637.2917831,0.99843086,0.897054087,76.72555
X15_3N_N_N_1,7152,7.956560427,753.5389647,0.998672929,0.89649897,72.98505
X15_3S_N_C_1,7441,8.071581088,862.6137791,0.998840733,0.905417601,80.36451
X15_4N_H_N_2,6883,7.762039733,456.9504661,0.997811579,0.878375775,72.87075
X15_4S_H_C_2,7225,7.945261123,754.8509645,0.998675235,0.894202658,79.25985
X15_5N_H_N_0,5327,7.423243861,352.383575,0.997162183,0.865125135,64.64455
X15_5S_H_C_0,5647,7.442121858,273.4322278,0.996342787,0.861468397,72.69777
X15_6N_N_N_1,7037,7.967656538,811.1335068,0.998767157,0.899391918,73.42162
X15_6S_N_C_1,6566,7.819286876,620.3784855,0.998388081,0.889600598,68.19642
X15_7N_H_N_2,6780,7.821061386,610.4085579,0.998361753,0.886567519,74.9834
X15_7S_H_C_2,7116,7.906219852,612.80506,0.99836816,0.891333685,70.74064
X15_8N_N_N_0,6473,7.5233544,216.6420568,0.995384091,0.857323737,76.54055
X15_8S_N_C_0,6212,7.582348493,371.8267332,0.997310575,0.868117898,70.04173
X15_9N_N_N_2,6788,7.707612807,243.8257821,0.995898711,0.873590617,71.56309
X15_9S_N_C_2,6765,7.789258774,503.1479588,0.998012513,0.883184226,70.72498
X16_10N_H_N_1,6107,6.999592744,53.93757733,0.98146005,0.802964257,64.54314
X16_10S_H_C_1,7469,7.911927477,512.8755457,0.998050209,0.887134936,84.00977
X16_11N_N_N_0,6993,7.867206384,699.6965389,0.998570809,0.888682272,75.65981
X16_11S_N_C_0,5112,6.889711207,111.6121092,0.991040399,0.80681954,65.97518
X16_12N_N_N_2,7244,7.833258997,473.4201795,0.997887712,0.881336829,75.41748
X16_12S_N_C_2,6394,7.658533032,389.6709303,0.997433732,0.873950957,77.23254
X16_13N_N_N_0,6898,7.861605698,639.3901506,0.99843601,0.889423854,78.38918
X16_13S_N_C_0,7041,7.713424447,374.2007532,0.997327638,0.870638261,77.199
X16_14N_N_N_2,7880,8.05864095,681.4518908,0.998532545,0.898190619,82.49982
X16_14S_N_C_2,6981,7.807823718,470.6905698,0.997875462,0.882145528,72.03389
X16_15N_H_N_0,5382,7.181210341,169.1827359,0.994089231,0.835917205,71.05149
X16_15S_H_C_0,5198,7.309622936,211.5420672,0.995272808,0.854324214,62.49855
X16_16N_H_N_1,6085,7.506439688,380.3603607,0.997370914,0.861464284,67.25293
X16_16S_H_C_1,6526,7.562510462,309.9274031,0.996773438,0.860985696,81.48986
X16_17N_N_N_2,7502,7.949983476,575.6770812,0.998262915,0.8909616,74.54528
X16_17S_N_C_2,7701,8.100613659,955.1087599,0.998952999,0.905186969,80.42355
X16_18N_H_N_0,5516,7.351293269,327.3026042,0.996944723,0.853272772,69.93786
X16_18S_H_C_0,6264,7.586344804,388.98771,0.997429225,0.867747256,69.9656
X16_19N_N_N_1,6235,7.287932747,145.8986307,0.993145926,0.834056754,65.55202
X16_19S_N_C_1,5678,7.473291825,444.4387598,0.997749971,0.864528631,80.50453
X16_1N_H_N_1,5727,7.450546899,318.7451286,0.996862697,0.861041539,63.65915
X16_1S_H_C_1,7554,8.060202544,863.707902,0.998842201,0.902615199,81.71018
X16_20N_H_N_1,6299,7.470980649,202.7525435,0.995067879,0.854007295,65.91419
X16_20S_H_C_1,6540,7.562108737,169.3670991,0.994095666,0.860729963,75.90412
X16_21N_H_N_2,6236,7.577186325,269.9876249,0.996296127,0.867144039,70.01708
X16_21S_H_C_2,6932,7.779061641,350.9293146,0.997150423,0.879595928,76.51733
X16_22N_H_N_2,6774,7.68596625,382.272416,0.997384064,0.871341065,70.14511
X16_22S_H_C_2,7110,7.77574742,395.7529285,0.997473171,0.876707819,78.18214
X16_23N_N_N_1,6468,7.5924572,370.8434181,0.997303444,0.865274539,66.22218
X16_23S_N_C_1,6456,7.577264424,352.2567027,0.997161161,0.863725888,68.38599
X16_24N_N_N_0,6445,7.709454776,471.6486176,0.997879778,0.878965011,74.79126
X16_24S_N_C_0,6824,7.809598008,649.2052024,0.998459655,0.884619407,73.7809
X16_2N_H_N_0,7031,7.898868749,720.2102905,0.998611517,0.891712988,82.56731
X16_2S_H_C_0,7558,7.985031889,712.3267891,0.99859615,0.894144268,79.22704
X16_3N_N_N_1,6802,7.668338636,423.4371964,0.997638375,0.868936317,73.57806
X16_3S_N_C_1,7807,8.066207614,862.1099576,0.998840055,0.899967552,76.70973
X16_4N_H_N_2,6877,7.837889646,737.8085986,0.998644635,0.887046721,76.08827
X16_4S_H_C_2,6386,7.443581653,249.5382923,0.995992599,0.849543223,69.93805
X16_5N_H_N_0,6923,7.951504201,881.6235092,0.998865729,0.899226491,85.07115
X16_5S_H_C_0,6680,7.658073987,316.1218727,0.996836663,0.869556511,74.4101
X16_6N_N_N_1,6535,7.668528872,462.3606607,0.997837186,0.872918844,69.98727
X16_6S_N_C_1,6207,7.676115326,569.2591163,0.998243331,0.878934476,73.43759
X16_7N_H_N_2,6344,7.538499992,368.0798213,0.997283198,0.861024789,73.08881
X16_7S_H_C_2,6410,7.481837115,255.7191152,0.996089459,0.853543933,70.65363
X16_8N_N_N_0,7944,8.067335174,736.245073,0.998641757,0.898349719,85.27678
X16_8S_N_C_0,7730,8.027640375,767.8409231,0.998697647,0.896656114,81.98154
X16_9N_N_N_2,7579,7.922154247,521.4488251,0.998082266,0.886827847,82.70781
X16_9S_N_C_2,6934,7.72527061,461.0558577,0.997831065,0.873485164,76.84899
