,richness,shannon,invsimpson,simpson,pielou,PD
X16_5N_H_N_0,497,4.033513344,22.52477616,0.955604442,0.649666563,11.46459
X16_5S_H_C_0,443,3.759811384,14.23628768,0.929756969,0.617012938,11.13047
X16_6N_N_N_1,606,4.599647918,40.55657258,0.975343084,0.717923221,10.66292
X16_6S_N_C_1,584,4.302790508,23.34549228,0.957165178,0.675487817,14.96575
X16_7N_H_N_2,362,2.507825839,3.041121937,0.671173987,0.425658059,9.28631
X16_7S_H_C_2,483,3.836520747,11.24304131,0.911056095,0.620794565,10.1269
X16_8N_N_N_0,672,4.365552856,17.5772649,0.943108327,0.670565226,19.96866
X16_8S_N_C_0,735,4.460823096,18.71008115,0.946552877,0.675895549,14.5028
X16_9N_N_N_2,780,4.831534591,29.19262841,0.965744777,0.725532564,14.63163
X16_9S_N_C_2,401,2.821761046,4.91802647,0.796666406,0.470767301,9.83652
